scanned sheet;ID;plant;position;morph;genotype;Fam;Rep;petioleLength;bladeLength;bladeWidth;bladeArea;bladePerimeter;bladeCircularity;perimeter_area;blade_petiole
25;290;3;8;P-;M24;11;5;261.4;713.3;407.7;228392;2966;0.326;0.012986444;2.728182375
25;291;3;9;P-;M24;11;5;159.1;590.0;305.1;141372;2446;0.297;0.01730187;3.707818568
37;429;1;3;P-;AH6;11;9;167.9;739.3;503.5;292378;3456;0.308;0.011820315;4.404190297
37;428;1;2;P-;AH6;11;9;248.0;449.9;415.5;146799;2298;0.349;0.015654058;1.813746558
37;427;1;1;P-;AH6;11;9;142.7;537.2;319.1;134637;2132;0.372;0.015835172;3.764973018
10;109;2;4;P+;PH4;12;1;273.0;560.3;454.5;200030;2574;0.379;0.01286807;2.052286313
10;110;2;5;P+;PH4;12;1;261.7;592.7;420.4;195676;2684;0.341;0.013716552;2.26457507
10;111;2;6;P+;PH4;12;1;221.0;633.6;402.9;200477;2794;0.323;0.013936761;2.866682353
6;66;3;9;P+;PH1;12;2;167.9;524.0;375.3;154476;2418;0.332;0.015652917;3.120176964
6;64;3;7;P+;PH1;12;2;233.0;534.1;333.5;139904;2258;0.345;0.016139639;2.292200992
6;65;3;9;P+;PH1;12;2;196.4;479.5;293.2;110411;2252;0.274;0.020396518;2.4414619
20;230;2;5;P+;PH8;12;3;151.4;600.5;455.9;215002;2804;0.344;0.013041739;3.96514154
20;231;2;6;P+;PH8;12;3;139.1;583.8;464.9;213190;2864;0.327;0.013434026;4.197452046
20;229;2;4;P+;PH8;12;3;173.3;554.4;453.7;197569;2728;0.334;0.013807834;3.198711032
32;376;4;10;P+;PH4;12;6;323.2;678.4;506.5;269887;3076;0.358;0.011397363;2.098812297
32;377;4;11;P+;PH4;12;6;281.7;712.9;460.2;257670;3064;0.345;0.011891179;2.530524515
32;378;4;12;P+;PH4;12;6;200.8;676.8;380.2;202113;2766;0.332;0.013685414;3.371460167
48;556;4;10;P+;PH1;12;10;337.8;717.9;531.1;299461;3298;0.346;0.01101312;2.125463319
48;557;4;11;P+;PH1;12;10;217.2;755.9;501.7;297854;3448;0.315;0.011576141;3.479772591
48;558;4;12;P+;PH1;12;10;145.6;656.0;370.1;190672;2786;0.309;0.014611479;4.504432375
50;580;4;11;P+;PH4;12;10;179.7;622.5;428.8;209662;2792;0.338;0.013316672;3.464930395
50;581;4;11;P+;PH4;12;10;243.5;532.0;450.0;187998;2528;0.37;0.013446952;2.184897384
50;582;4;12;P+;PH4;12;10;80.2;592.4;381.2;177374;2706;0.304;0.0152559;7.386174908
52;590;1;2;P+;PH8;12;11;73.5;594.1;435.5;203206;2676;0.357;0.013168902;8.078766285
52;589;1;1;P+;PH8;12;11;98.8;509.7;412.9;165309;2290;0.396;0.013852845;5.157514495
52;591;1;3;P+;PH8;12;11;88.4;576.1;387.1;175148;2480;0.358;0.014159454;6.517741169
16;178;1;1;P-;M24;14;3;153.4;659.5;387.0;200439;2778;0.326;0.013859578;4.30024191
16;179;1;2;P-;M24;14;3;154.0;644.9;298.1;151018;2558;0.29;0.016938378;4.18829229
16;180;1;3;P-;M24;14;3;104.1;547.0;269.9;115961;2216;0.297;0.019109873;5.252441355
40;463;2;4;P+;PH1;14;6;210.6;640.6;464.2;233564;2956;0.336;0.01265606;3.041417028
40;464;2;5;P+;PH1;14;6;279.5;582.6;395.7;181076;2568;0.345;0.01418189;2.084580568
40;465;2;6;P+;PH1;14;6;142.2;626.8;364.5;179432;2550;0.347;0.014211512;4.408932653
39;454;3;7;P-;AH6;14;8;157.4;603.5;404.8;191901;2596;0.358;0.013527809;3.835501439
39;455;3;8;P-;AH6;14;8;124.9;476.7;414.3;155091;2248;0.386;0.014494716;3.817517839
39;456;3;9;P-;AH6;14;8;79.9;524.4;397.4;163672;2404;0.356;0.014687912;6.56666291
10;115;4;10;P+;PH3;15;2;256.9;630.6;501.2;248219;2958;0.356;0.011916896;2.45408197
10;116;4;11;P+;PH3;15;2;233.7;656.9;450.9;232637;2984;0.328;0.01282685;2.811203506
10;117;4;12;P+;PH3;15;2;149.6;626.4;396.4;195020;2782;0.317;0.014265204;4.185712376
48;555;3;9;P+;PH3;15;10;209.4;679.9;545.9;291552;3302;0.336;0.011325595;3.247503284
48;553;3;7;P+;PH3;15;10;241.8;551.4;432.7;187412;2574;0.355;0.013734446;2.280841154
48;554;3;8;P+;PH3;15;10;225.2;547.3;426.7;183403;2538;0.358;0.013838378;2.430428372
7;75;2;6;P+;PH2;16;2;148.5;593.6;363.6;169536;2666;0.3;0.015725274;3.997838267
7;74;2;5;P+;PH2;16;2;204.6;583.9;351.5;161175;2556;0.31;0.015858539;2.853428601
7;73;2;4;P+;PH2;16;2;239.3;554.2;373.5;162561;2612;0.299;0.016067815;2.316279575
23;271;4;10;P+;PH3;17;5;202.3;560.8;457.8;201626;2540;0.393;0.012597582;2.772507725
23;273;4;12;P+;PH3;17;5;168.5;577.2;376.5;170661;2440;0.36;0.01429735;3.424273348
23;272;4;11;P+;PH3;17;5;195.4;574.6;391.9;176856;2562;0.339;0.014486362;2.94061686
5;49;1;1;P-;M24;18;2;161.3;582.9;408.9;187227;2628;0.341;0.014036437;3.613822348
5;50;1;2;P-;M24;18;2;137.5;605.5;378.6;180067;2540;0.351;0.014105861;4.405376305
5;51;1;3;P-;M24;18;2;97.6;548.2;274.3;118108;2052;0.352;0.017373929;5.619925783
12;140;4;11;P+;PH1;18;4;174.0;572.1;446.8;200769;2774;0.328;0.013816874;3.288396875
12;139;4;10;P+;PH1;18;4;201.5;575.5;401.0;181231;2530;0.356;0.013960084;2.855540891
12;141;4;12;P+;PH1;18;4;156.6;564.7;372.5;165191;2460;0.343;0.014891852;3.605235268
25;292;4;10;P-;AH7;18;5;309.0;751.5;475.5;280611;2778;0.457;0.009899826;2.43224234
25;293;4;11;P-;AH7;18;5;205.0;719.2;409.0;230999;2560;0.443;0.011082299;3.50840537
25;294;4;12;P-;AH7;18;5;132.9;647.3;382.1;194255;2250;0.482;0.011582713;4.869628348
22;259;4;10;P-;M28;18;5;318.0;691.8;456.6;248100;2832;0.389;0.011414752;2.175515723
22;260;4;11;P-;M28;18;5;239.8;605.0;368.0;174882;2454;0.365;0.014032319;2.523155774
22;261;4;12;P-;M28;18;5;188.6;547.1;313.9;134887;2152;0.366;0.015954095;2.90016115
36;424;4;10;P-;AH6;18;6;196.1;624.8;408.2;200316;2604;0.371;0.012999461;3.186071889
36;426;4;12;P-;AH6;18;6;124.0;518.1;305.3;124224;2196;0.324;0.017677743;4.177602722
