morph,pop,block,fam,p_length,b_length,b_w,b_area,b_peri,b_circ,per_area,bla_pet,height,branch_0,branch_1,branch_2,i-node-3,i-node_4,i-node_5,curly,ped_n,top_ped,fem_ped,avg_p,trichomes,pollen,seed,seedn,biom,avgseedw,pollalloc,seedallo,sexallo
P-,M34,4,no fam,154.565,504.666,328.9375,129900.5,1887,0.456,0.014702994,3.835117413,32.4,26.5,13,19,43,41,49,0,23,0,0,7.396,0,225.71,638.88,261,4.65,2.447816092,48.53978495,137.3935484,0.261060156
P-,M34,9,no fam,356.54,785.9386667,484.173,298144.6667,3024,0.409666667,0.010312582,2.375732259,44,33.5,30.7,24.7,50,58,64,0,0,0,0,4.774,0,141.6,622.66,246,6.083,2.531138211,23.27798783,102.3606773,0.185277262
P-,M34,8,no fam,248.8086667,752.5466667,381.497,224239,2801.333333,0.359333333,0.012633959,3.179962143,31,19.2,14.8,14.4,41,45,54,0,0,0,0,10.056,0,11.56,404.86,141,4.321,2.871347518,2.675306642,93.69590373,0.027760434
P-,M34,11,no fam,270.6526667,927.4526667,531.0923333,385860.6667,3460,0.404666667,0.009183788,4.132569233,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
P-,M36,6,no fam,154.5776667,421.5036667,302.6273333,100292.6667,1620.666667,0.477,0.016378726,3.341654516,35.1,15.2,18.8,23.5,55,53,44,0,0,0,0,3.106,0,57.76,478.7,199,4.304,2.405527638,13.42007435,111.222119,0.107668792
P-,M36,3,no fam,209.3156667,744.207,531.1543333,310391.6667,3001.333333,0.432,0.009810243,4.235778577,30.1,17.2,16.4,20.6,49,40,69,0,0,0,0,6.196,0,52.09,368.15,180,5.08,2.045277778,10.25393701,72.47047244,0.123952979
P-,M36,8,no fam,153.6636667,606.6803333,373.8493333,184609,2494.666667,0.358666667,0.014677659,4.078771526,32.3,17.9,15.5,17.6,35,47,52,0,0,0,0,2.352,0,38.62,503.59,219,3.044,2.299497717,12.68725361,165.4369251,0.071227015
P-,M36,5,no fam,196.8236667,654.788,374.3776667,197720.3333,2554.666667,0.366666667,0.013950949,3.381480827,36.1,21.5,17.2,13.4,54,56,47,0,7,0,5,21.874,0,102,592.97,239,3.406,2.481046025,29.94715208,174.0957134,0.146768925
P-,M36,7,no fam,179.861,685.5623333,377.5346667,204181,2444.666667,0.424333333,0.012333725,3.961181536,47.5,22.1,19.8,26.1,50,84,83,0,0,0,0,3.532,0,65.2,544.33,272,3.604,2.001213235,18.09100999,151.0349612,0.106967664
P-,M36,2,no fam,244.6473333,630.9186667,403.2786667,203381.6667,2458.666667,0.413,0.012632579,2.592527378,38.5,23,20.4,21.5,35,52,62,0,0,0,0,4.422,0,83.75,553.18,267,6.308,2.071835206,13.27679138,87.69499049,0.131490117
P-,M36,10,no fam,176.8043333,583.5456667,300.4043333,137969.6667,2086,0.397,0.015242257,3.391197322,38,24.4,23.5,21.5,42,49,50,0,0,0,0,5.602,0,,679.7,309,6.238,2.199676375,0,108.9612055,0
P-,M36,11,no fam,157.8666667,577.3086667,396.183,186279.6667,2279.333333,0.428333333,0.013515605,3.667052466,35.2,24.7,24.4,20.4,29,52,55,0,0,0,0,7.998,0,85.88,970.94,443,6.238,2.191738149,13.76723309,155.6492466,0.081262656
P-,M36,9,no fam,115.2396667,684.0916667,406.6413333,219320.3333,2547.333333,0.421,0.011813727,6.672091745,49.8,31.5,23.5,29.5,42,68,80,0,0,0,0,4.408,0,92.15,745.01,370,5.868,2.013540541,15.70381731,126.961486,0.110074538
P-,M36,4,no fam,190.303,595.4096667,309.6446667,145828,2460,0.299333333,0.017236346,3.322537099,32.4,20.9,15.7,16,48,53,54,1,0,0,0,5.204,0,132.5,473.58,193,3.986,2.453782383,33.24134471,118.8108379,0.218618004
P-,M36,1,no fam,251.159,515.9003333,327.388,136201.6667,2127.333333,0.369,0.01658201,2.102957626,33.8,22.4,14.9,14.1,33,38,64,1,0,0,0,4.254,0,96.97,581.83,296,3.659,1.965641892,26.50177644,159.0133916,0.142855038
P-,M38,10,no fam,251.3996667,619.8493333,391.056,218827.6667,2554,0.371666667,0.015287552,2.511514895,25.5,8.2,4.8,8.7,23,33,39,0,0,0,0,1.784,0,,170.71,76,3.012,2.246184211,0,56.67662683,0
P-,M38,2,no fam,251.28,663.4673333,391.1516667,212153.6667,2517.333333,0.408666667,0.012864774,2.644069884,28.4,11,13.9,10.2,34,40,43,0,0,0,0,6.624,0,147.76,610.17,294,3.971,2.075408163,37.20977084,153.6565097,0.19495204
P-,M38,7,no fam,162.4826667,834.9943333,458.3776667,304203,3096.666667,0.391,0.010569618,5.81806501,32.7,11.5,13,10.3,50,54,54,0,0,0,0,1.542,0,16.25,528.85,216,4.484,2.44837963,3.623996432,117.94157,0.029811044
P-,M38,8,no fam,185.1806667,569.7643333,412.985,189500.3333,2434,0.387,0.013767742,3.244769217,42.5,12.6,13.5,,51,60,61,0,0,0,0,3.042,0,29.58,780.34,339,4.447,2.301887906,6.651675287,175.4756015,0.036522126
P-,M38,3,no fam,227.165,679.2243333,429.433,229817,2666,0.406,0.011721556,3.195271847,32,16.5,12,22.2,37.4,49,49,0,10,2,4,26.74,0,,679.7,309,6.238,2.199676375,0,108.9612055,0
P-,M38,4,no fam,183.8103333,574.6186667,401.207,183250.3333,2368.666667,0.404333333,0.013330751,3.179685425,31.5,18,15,17.4,49,52,42,0,17,0,8,35.168,0,187.56,226.66,90,5.4,2.518444444,34.73333333,41.97407407,0.452802858
P-,M38,1,no fam,191.7993333,731.7643333,410.2626667,241285,2798.666667,0.373,0.012425941,3.950651368,32.5,18.5,14.2,17.9,43,55,58,0,0,0,0,3.814,0,43.63,628.86,291,4.447,2.161030928,9.811108613,141.412188,0.064878288
P-,M38,11,no fam,243.656,577.3213333,387.054,181647.3333,2388.666667,0.392,0.013998517,2.483926977,38.1,19,22.4,19.4,59,64,62,0,16,3,10,39.708,0,151.2,403,148,5.07,2.722972973,29.82248521,79.48717949,0.272825695
P-,M38,5,no fam,115.538,744.0106667,436.3103333,256921,2821.333333,0.402333333,0.011180197,7.10791699,39,19.8,17.3,19.8,40,48,70,0,0,0,0,4.726,0,45.85,579.79,253,5.154,2.291660079,8.896003104,112.4932092,0.073284956
P-,M38,9,no fam,267.126,772.5926667,539.2033333,328077.3333,3054.666667,0.439333333,0.009415382,3.01789645,38.2,20,10.9,15.9,62,63,63,0,3,0,3,16.818,0,56.75,492.88,196,5.003,2.514693878,11.34319408,98.51688987,0.103251278
P-,M38,6,no fam,234.0336667,534.2633333,353.1123333,148318.3333,2190,0.388666667,0.014856446,2.453262258,28.8,16,14.5,12.6,51,50,51,1,15,6,8,45.666,0,194.24,211.33,101,2.807,2.092376238,69.19843249,75.28678304,0.478930887
P+,M31,10,no fam,190.89,636.2203333,398.2186667,199853.3333,2591.333333,0.369666667,0.013265517,3.633003788,27.2,20.4,18.2,17.5,34,48,48,0,0,0,0,2.578,0,,458.66,241,4.396,1.903153527,0,104.3357598,0
P+,M31,5,no fam,178.9993333,597.1756667,388.881,185350,2488,0.368333333,0.014075773,3.533490365,27,21.2,18.8,18.8,29,44,52,0,0,0,0,4.854,0,176.47,660.01,329,4.578,2.006109422,38.54740061,144.1699432,0.210967387
P+,M31,1,no fam,236.2893333,686.142,424.9886667,234859.3333,2735.333333,0.380666667,0.012513283,3.022724036,32.5,26.6,22,20.6,34,51,50,0,2,0,1,8.404,0,58.11,1000.59,512,7.159,1.954277344,8.117055455,139.7667272,0.05488807
P+,M31,9,no fam,183.7556667,758.3946667,461.3283333,275235.3333,3118.666667,0.354333333,0.011409774,4.6070807,33.1,30.5,24.3,27.1,45,60,56,0,1,0,0,7.87,0,96.65,607.98,328,6.645,1.853597561,14.5447705,91.49435666,0.137164185
P+,M31,3,no fam,219.383,663.1116667,424.3533333,226101,2754.666667,0.365666667,0.012818592,3.226867219,34,30.8,22.1,22.5,40,46,41,0,0,0,0,7.06,0,142.82,868.22,446,6.22,1.946681614,22.96141479,139.585209,0.141260484
