ID_process;Table;Block;Morph;Tag;fam;rep;height;height w/i;branch_0;branch_1;branch_2;i-node-3;i-node_4;i-node_5;curly;ped_n;top_ped;fem_ped;p_1_length;p_1_clus;p_2_length;p_2_clus;p_3_length;p_3_clus;p_4_length;p_4_clus;p_5_length;p_5_clus;avg_clus;avg_p;trichomes;observer
217;1;2;P+;PH2_2015;;2;26.2;33.4;16.3;17;21.9;38;37;37;0;85;20;0;117.5;5;79.38;4;106.21;5;91.08;5;95.05;6;5;97.844;0;LS
190;3;9;P+;PH2_2015;;9;33.5;36.8;22.5;21.8;22;35;44;51;0;79;5;17;56.25;4;70.37;3;100.22;7;62.13;4;64.48;3;4.2;70.69;0;LS
121;2;8;P+;PH2_2015;;8;26.5;26.5;14.7;15.7;14.2;34;37;45;1;34;0;4;38.27;2;33.51;1;35.37;2;38.56;3;28.33;2;2;34.808;0;WJ
125;1;3;P+;PH2_2015;;3;30.7;34.1;21.4;18.9;16.8;31;44;50;0;55;6;20;50.65;2;41.27;2;40.7;1;41.81;2;21.22;2;1.8;39.13;0;LS
143;2;6;P+;PH2_2015;;6;20.2;23.7;10.6;10.5;12.1;17;20;32;0;56;7;2;59.95;2;55.21;2;62.85;2;30.62;1;36.35;2;1.8;48.996;0;LS
128;2;5;P+;PH2_2015;;5;35.5;;24.2;7.6;18.1;27;36;43;0;54;5;22;33.79;2;20.44;1;52.09;1;44.5;2;48.9;2;1.6;39.944;0;WJ
129;3;10;P+;PH2_2015;;10;27.9;28.9;15.3;20.6;21.1;20;27;39;0;38;2;27;54.46;2;45.22;1;38.14;1;25.65;1;42.5;;1.25;41.194;0;LS
107;1;1;P+;PH2_2015;;1;31;32;14.9;22.6;15.7;34;44;40;0;46;0;32;20.03;1;24.73;1;27.45;1;19.29;1;15.9;1;1;21.48;1;LS
123;3;11;P+;PH2_2015;;11;26.8;28.9;13;17;19.3;24;29;40;0;41;4;14;30.59;1;25.34;1;44.4;1;45.2;1;36.46;1;1;36.398;0;LS
188;2;7;P+;PH3;41;7;17.9;26.1;12;;9.2;23;32;23;1;43;17;9;111.85;2;91.87;1;82.41;1;62.48;;1;;1.333333333;69.922;0;LS
209;2;8;P+;PH3;37;8;16.5;24;11.2;8.1;8.3;28;32;18;1;26;6;7;93.77;5;100.55;4;84.61;4;75.38;3;68.36;2;3.6;84.534;0;SA
175;2;6;P+;PH3;30;6;19.4;27;13.2;9.3;10.2;27;32;28;1;29;8;9;46.67;2;46.8;2;102.92;4;31.12;2;94.49;3;2.6;64.4;0;WJ
194;1;4;P+;PH3;36;4;16.8;24;12.6;10.5;9.5;26;23;20;1;30;6;10;88.65;3;83.11;3;38.27;1;62.33;2;88.38;4;2.6;72.148;0;SA
201;1;3;P+;PH3;25;3;15.7;22.5;12.9;9.8;8.2;24;29;22;0;51;4;2;51.15;1;80.54;3;92.21;3;82.95;3;71.55;3;2.6;75.68;0;SA
135;3;11;P+;PH3;25;11;14.8;17.6;11.3;7.5;7.4;18;23;18;1;15;2;5;21.91;2;37.04;2;45.57;2;60.14;2;52;2;2;43.332;0;LS
120;3;10;P+;PH3;15;10;17;21.7;12;10.6;7.5;26;28;24;1;13;5;12;26.24;1;29.48;1;39.09;1;44.89;1;32;1;1;34.34;0;LS
150;2;5;P+;PH3;17;5;18.5;;13.7;9.8;8.9;27;28;28;1;27;4;19;56.24;1;44.56;1;41.01;1;54.09;1;64.99;1;1;52.178;0;LS
151;1;2;P+;PH3;15;2;17;20.5;10.5;10.2;7.9;26;25;24;1;18;2;11;53.74;1;65.81;1;44.29;1;36.35;1;63.39;1;1;52.716;0;SA
191;2;7;P+;PH3_2015;;7;22.5;29.6;13.9;11.4;10.3;42;34;45;1;35;6;14;93.81;3;89.86;4;89.85;3;77.11;;3;;3.333333333;70.726;0;SA
218;1;1;P+;PH3_2015;28;1;17.1;26.9;10.5;7.4;7;28;27;26;1;53;11;10;116.4;5;111.44;3;148.1;2;74.46;2;68.32;2;2.8;103.744;0;LS
183;1;4;P+;PH3_2015;;4;19.3;25.2;11;9.7;8.3;33;34;23;0;17;4;3;75.04;2;70.18;1;61.03;2;75.08;5;55.75;2;2.4;67.416;0;SA
203;3;11;P+;PH3_2015;;11;21.5;29.4;14.9;8.6;8.4;33;33;30;1;41;8;14;81.94;2;37.04;2;87.67;2;94.75;3;98.99;3;2.4;80.078;0;WJ
157;1;1;P+;PH3_2015;;1;21.5;24.9;11.7;8.1;6.8;28;34;30;1;14;7;2;48.22;3;32.95;1;95.34;2;48.54;2;50.86;2;2;55.182;0;LS
179;2;8;P+;PH3_2015;;8;19.5;25.5;10.7;7;6.3;27;28;35;0;8;4;2;89.79;2;81.59;2;70.88;2;40.77;2;47.3;2;2;66.066;0;SA
147;1;2;P+;PH3_2015;;2;22.5;27.6;9.7;11.4;6.7;29;27;33;1;9;6;6;42.59;2;66.87;2;43.76;2;63.78;2;36.77;1;1.8;50.754;0;LS
136;1;3;P+;PH3_2015;;3;23;;12.2;9.5;11.1;32;34;39;0;7;5;2;56;2;34;2;25;1;35;1;68;2;1.6;43.6;0;WJ
158;2;5;P+;PH3_2015;;5;20;24.6;12.6;8;7.5;29;30;26;1;13;5;2;47.28;1;58.85;1;59.96;2;46.48;2;65.45;2;1.6;55.604;0;LS
174;2;6;P+;PH3_2015;;6;17;22.5;11;7.4;7.8;29;31;22;1;21;6;8;52.3;1;72.86;2;77.7;2;72.98;1;43.43;2;1.6;63.854;0;LS
114;3;10;P+;PH3_2015;;10;25.4;;10.5;7.8;8;39;45;33;1;6;0;3;40.49;2;16.8;1;25.3;1;16.22;1;32.71;1;1.2;26.304;0;WJ
215;1;1;P+;PH4;12;1;18.8;26.1;7.9;8.8;10;34;31;26;1;35;3;9;109.69;2;69.75;2;113.71;4;86.95;3;83.02;2;2.6;92.624;0;SA
212;1;4;P+;PH4;6;4;20.9;29.6;10.3;8.9;7.8;29;33;34;0;55;10;17;92;1;94;2;49;2;80;2;122;4;2.2;87.4;0;SE
211;3;11;P+;PH4;19;11;19;26.7;8.9;9.4;9.8;26;32;26;1;34;10;12;92.45;2;66.11;2;101.88;2;71.83;2;104.2;2;2;87.294;1;WJ
198;1;3;P+;PH4;7;3;18;26;12.5;9.7;8.8;24;30;26;1;36;14;11;108.03;2;41.02;1;74.88;2;50.76;1;94.53;3;1.8;73.844;0;LS
204;2;7;P+;PH4;19;7;18.5;25.7;8.5;11.2;8.7;27;38;30;1;28;4;14;90.06;2;81.47;2;77.62;1;57.66;2;99.6;2;1.8;81.282;0;SA
181;1;2;P+;PH4;19;2;18.8;24.1;9.5;10.8;10.4;33;31;37;1;39;4;30;67.33;1;53.54;2;87.7;2;38.77;1;88.66;2;1.6;67.2;0;SA
144;3;9;P+;PH4;6;9;17.5;23.5;10.4;8.1;6;31;31;28;1;23;6;6;37.43;1;91.19;2;83.46;2;4.84;1;29.57;1;1.4;49.298;0;LS
184;3;10;P+;PH4;12;10;18.2;27.5;11;8.2;9.1;30;34;29;1;66;12;27;59.51;2;72.88;1;101.58;2;61.67;1;44.84;1;1.4;68.096;1;WJ
145;2;8;P+;PH4;7;8;19;23.2;2.4;9.5;10.9;32;30;31;1;39;9;16;34.17;1;57.59;1;32.56;1;55.88;2;66.73;1;1.2;49.386;0;LS
187;2;6;P+;PH4;12;6;25.3;30;8.4;8.7;10;38;39;37;1;37;5;9;80.66;1;95.99;2;74.4;1;57.45;1;39.66;1;1.2;69.632;0;SA
99;2;5;P+;PH4;9;5;16.5;16.5;10.8;7;8.8;21;33;24;1;5;0;5;14.48;1;12.45;1;12.76;1;11.36;1;15.16;1;1;13.242;0;LS
164;3;10;P+;PH4_2015;;12;33.5;37.2;10.1;16.2;19.2;34;44;58;1;55;7;22;30.14;2;58.15;2;81.33;3;46.73;2;68.36;3;2.4;56.942;0;LS
161;2;8;P+;PH4_2015;;8;28.3;32.9;9.8;15;19.6;35;37;45;1;43;5;23;73.38;3;50.27;2;52.98;2;58.95;3;48.14;1;2.2;56.744;0;LS
162;2;7;P+;PH4_2015;;7;34;37;17.5;24.2;19.9;37;52;64;0;37;4;15;30.96;1;47.51;2;68.1;3;66.34;2;71.72;3;2.2;56.926;0;WJ
140;2;6;P+;PH4_2015;;6;24.5;29;15;13;16.4;34;33;45;1;26;7;1;48.45;1;59.96;2;41.12;2;50.45;2;29.05;3;2;45.806;0;WJ
142;1;1;P+;PH4_2015;;1;24.7;29.8;15;16.2;18.2;37;55;34;1;18;9;6;31;2;55.2;2;48.55;2;35.33;2;68.9;2;2;47.796;0;WJ
171;1;2;P+;PH4_2015;;2;19;;11.9;14;11.5;33;31;26;1;38;13;18;69.3;2;62.83;2;41.11;2;90.84;2;43.81;2;2;61.578;0;LS
173;1;4;P+;PH4_2015;;4;30.5;;12;9;21;37;46;69;0;19;7;7;53.69;2;54.98;2;69.93;2;72.06;2;60.38;2;2;62.208;0;LS
180;3;10;P+;PH4_2015;;10;25.4;32;15.3;16.5;16.1;38;58;48;1;45;17;21;78.07;2;72.55;2;58.51;2;75.17;2;46.42;2;2;66.144;0;LS
160;2;5;P+;PH4_2015;;5;31;37.5;16.2;11.5;17.6;40;40;60;0;32;9;25;41.53;2;18.97;1;51.5;1;91.1;3;77.09;1;1.6;56.038;0;WJ
110;1;3;P+;PH4_2015;;3;20.8;23.1;8;11;11.8;32;44;33;1;16;3;11;25;1;13;1;17;1;34;2;28;2;1.4;23.4;0;WJ
148;3;9;P+;PH4_2015;;9;22;26.2;13.1;9.1;9.6;36;27;28;1;20;7;5;56.6;2;73.53;2;34.67;1;49.69;1;41.76;1;1.4;51.25;0;LS
205;3;9;P+;PH8;23;9;21.1;29.2;13.8;13.2;11.5;29;36;35;1;68;15;8;82.15;2;93.22;3;79.55;3;92.82;3;62.34;3;2.8;82.016;0;LS
213;3;11;P+;PH8;12;11;22;29.5;10.6;9.4;10.5;33;29;34;1;55;9;8;96.97;3;108.15;3;82.19;3;98.2;3;63.48;2;2.8;89.798;1;WJ
202;2;8;P+;PH8;25;8;20;28;14.5;12.2;8.3;31;39;27;1;50;7;10;102.84;4;78.11;3;86.27;2;71.2;2;50.64;2;2.6;77.812;0;SA
206;2;7;P+;PH8;4;7;23.4;28.9;6.1;10.5;12.2;30;31;39;1;21;6;9;88.36;3;85.45;3;77.66;2;88.55;3;70.08;1;2.4;82.02;0;SA
185;2;5;P+;PH8;7;5;21.2;26;11.7;11;9.5;28;35;32;1;43;10;11;46.43;2;66.27;3;79.52;2;73;2;79.25;2;2.2;68.894;0;LS
189;2;6;P+;PH8;5;6;19.6;25.2;10.6;11.2;9;27;27;35;1;34;10;16;58.39;2;75.65;3;68.37;2;79.4;2;69;2;2.2;70.162;0;LS
192;3;10;P+;PH8;19;10;22;28.2;10.4;9.4;9.4;29;28;26;1;54;8;13;78.94;3;55.6;2;84.02;2;77.02;2;58.18;2;2.2;70.752;0;LS
208;1;3;P+;PH8;12;3;22;28.5;13;12;10.5;26.5;32.6;29.1;1;71;10;19;53.8;2;86.5;2;98.6;2;85;3;93.2;2;2.2;83.42;0;SA
165;1;2;P+;PH8;19;2;19.4;;9.6;10.5;10;29;29;29;1;33;8;14;42.9;2;75.62;3;76.94;2;49.53;2;40.85;1;2;57.168;0;LS
177;1;4;P+;PH8;9;4;26.1;30;6.1;13.9;13.5;27;33;33;1;36;4;20;63.81;2;68.08;2;68.98;3;61.45;1;65.44;2;2;65.552;0;SA
159;1;1;P+;PH8;23;1;22;29.7;12.1;11.2;10.9;34;31;35;1;86;7;32;29;1;68;2;50;1;54;2;78;3;1.8;55.8;0;WJ
